,1
君,1
勉,1
信息技术,5
Information,1
简称,17
环节,11
关联,2
事物,4
变化,10
总结,6
Laws,1
摩尔,49
安,21
迪,22
描述,2
组成部分,1
计算机行业,2
Moore,6
s,9
Law,6
•,48
辆,3
汽油,1
百公里,2
反击,3
暂,1
戈,4
登,6
Gordon,2
集成,19
集成电路,7
成电,7
电路,11
集成度,9
周期,5
缩短,3
令,4
置信,2
秒钟,4
加减法,1
减法,1
十米,1
两米,1
吨,2
耗电,3
瓦,1
睿,9
计算速度,5
秒,2
亿次,2
浮点,4
浮点运算,2
万倍,7
体积,1
耗电量,2
电量,2
BlueGene,1
L,1
万亿,3
万亿次,1
亿倍,2
存储容量,1
容量,5
软盘,26
软盘驱动器,1
KB,1
页,1
文书,1
台式,1
硬盘容量,1
GB,1
百万倍,1
北京,7
图书,7
图书馆,3
书馆,3
藏书,1
物理,2
线性,2
加速,4
专线,1
线路,3
相联,3
调制,8
调制解调器,8
解调,8
解调器,8
拼音,2
拼音输入,1
ADSL,1
电话线,6
输,30
十秒,1
十秒钟,1
医疗,20
制药,17
消费品,4
怀疑,8
适,8
停,7
迹象,4
文明,3
文明史,1
明史,1
特殊性,1
原材,2
原材料,2
材料,10
相差,5
消耗,5
Applied,1
Materials,1
纳米,5
工艺,2
预算,2
假,14
两项,3
亿片,2
摊,3
收回,16
幅度,6
主导,40
短,7
AMD,51
涌现,1
x,8
分辨,3
分辨率,3
辨率,3
YouTube,18
融入,5
妨,13
疯,1
目标,5
点播,1
跳跃,2
访问,4
杜撰,2
幻想,1
实施,7
IP,11
消,1
素,15
两节,1
讨,6
Andy,6
Bill,5
嫌,1
销售量,1
动力,12
持续增长,1
促,3
成安,1
What,1
gives,1
takes,1
away,1
格鲁夫,1
Grove,1
越做越,1
兆,3
版,12
糟糕,6
车,9
乍,1
BASIC,3
NET,2
优化,4
解释,10
解释器,1
释器,1
汇编,2
汇编语言,2
写成,1
精炼,2
工作效率,2
效率,21
符合,3
软件工程,1
硬件资源,4
资源,10
规范,1
规范化,1
范化,1
节省,1
Java,33
昨天,4
难免,2
烦恼,2
开发商,9
举,10
Vista,8
迟迟,3
面市,1
整机,5
Marvell,4
Seagate,5
跌,21
呼,3
唤,2
始,4
颓势,3
意外,1
轮,25
计算机芯片,1
机芯,3
XP,3
翻两番,1
两番,1
CPU,7
吃掉,3
迫,7
收益,14
厂,11
订货,1
Seagat,1
e,1
设厂,1
效应,11
通货,4
通货膨胀,4
亚洲,31
信号,22
信号处理,15
信号处理器,7
DSP,14
中档,1
预计,4
运营,20
运营商,3
营商,3
增值,2
服务商,6
耐,1
消耗性,2
刺激,5
Reverse,2
埃里,5
埃里克,3
里克,4
施密特,10
采访,2
悲,1
劳动,2
规,41
辛苦,4
列举,5
股值,7
CISCO,1
Marvel,1
HP,15
Motorola,2
余,7
甚远,2
高点,6
生计,1
读读,2
丈,10
灭顶,6
灾,6
SGI,14
积,9
促成,5
科技领域,6
质,15
量变,7
质变,4
Architecture,1
主频,1
纳米技术,2
生物,27
潜力,8
挖掘,3
创造发明,2
木,7
工厂,24
诺基亚,86
基亚,86
模拟,27
模拟手机,10
波特,1
波特率,1
Kbps,4
东,4
网景,84
数字电,3
数字电话,1
停留,3
提速,1
DSL,8
约翰,22
菲,7
教授,72
IEEE,2
资深,9
Fellow,2
Amati,4
德州,12
德州仪器,11
TI,13
典型,9
案例,7
石油工业,3
油工,3
飞机,9
制造业,14
追求,9
寻找,14
保持,14
时刻,8
周围,6
相关,16
取代,17
广通,1
BroadCom,2
高回报,7
凑,5
理财,3
志,4
承担,6
承担风险,2
担风险,2
公司员工,5
司员,5
兴旺,1
陆续,2
西海,2
西海岸,2
海岸,3
圣,4
荷,1
西市,1
San,2
Jose,1
围绕,1
海湾,1
峡谷,1
绿,1
线圈,1
硅,9
中央处理,6
中央处理器,6
匹敌,2
格罗,5
格罗夫,5
加入,18
年产,1
年产值,1
搭,7
强势,3
严格,11
高速,17
高速度,3
时势,3
时势造,3
时势造英雄,3
E,4
罗伯特,3
诺伊斯,3
伊斯,3
Robert,2
Noyce,2
仙童,13
Fairchild,2
婴,4
含义,3
微处理器,7
补充,5
阳春,1
春雪,1
尖端,2
祖宗,1
明确,6
成名,2
AT,2
径,2
面前,1
东京,1
附,5
房产,8
总值,2
房市,1
政治,4
政治家,1
治家,1
盲目,5
冷静,2
技术含量,2
含量,5
存储器,3
果断,5
停掉,4
专心,5
全市,1
欢呼,1
美国公司,5
弃子,1
势,2
豪赌,1
伟业,1
渡,6
缓存,1
Cache,1
交椅,5
学术界,6
习惯性,2
惯性,4
帽子,1
密集,2
密集型,2
终究,3
重量,3
重量级,2
罗马,1
罗马帝国,1
布,8
匿,1
迦太基,1
击败,3
牌,6
期间,2
数目,4
波罗,2
型号,2
耍,1
花招,1
编号,2
跳,7
选,11
外部,3
援,2
逐步,5
行列,4
PowerPC,2
盟军,3
失误,3
精简,38
精简指令,38
集,17
守住,2
伊利,2
伊利诺,2
伊利诺斯,2
伊利诺斯州,1
诺斯,2
诺斯州,1
高技,1
高技术,1
作态,1
雇员,16
雇佣,3
层次,2
强度,6
学区,1
频道,2
History,1
Channel,1
节目,7
评,10
中日,1
甲午,1
甲午战,1
甲午战争,1
史学,1
史学家,1
悬念,1
专制,1
农业,3
工业化,3
摩托罗拉公司,11
加尔文,12
Galvin,2
手里,11
孙子,4
家族,42
俗话,3
俗话说,2
应验,1
孙子辈,1
克里,3
克里斯,2
克里斯托,2
里斯托,2
斯托,2
姓,1
高层,2
BP,3
接收,4
接收器,1
散,3
绳,4
扯断,1
元,8
化,19
碰,3
搜索,45
意愿,2
办事,3
倒流,2
换,12
指令集,7
集合,1
CISC,1
指令系统,3
流水,6
流水作业,2
作业,2
缺陷,3
高集成度,1
高功耗,1
功耗,1
校长,18
美国科学院,2
科学院,3
工程学,2
工程学院,1
文理,4
文理学院,1
理学,2
理学院,1
院,1
轩尼诗,11
Hennessy,1
伯克利,17
伯克利分校,3
克利,19
分校,3
派,13
森,14
David,2
Patterson,1
保留,7
简化,4
PS,2
Cell,1
秋,3
先进,9
原理,3
两门,3
两门课,2
合写,1
教科,6
教科书,6
MIPS,10
ACM,2
荡,1
逆,1
理智,1
维护,7
毙,1
兼容性,3
容性,4
停止,5
抗,6
吸取,4
长处,3
流水线,4
水线,4
高强,1
高强度,1
阵营,4
瓜分,3
编,1
免,10
恐龙,4
强调,16
圈点,2
系列产品,2
软件程序,1
肯,9
积累,10
升级,2
生产厂家,5
炉灶,2
害,3
花钱买,1
烦,1
衰,3
代代,2
实数,1
逊,3
筹,2
懈,2
反倒,1
熬,3
群龙,1
龙首,1
价格战,6
收拾,4
分庭,4
分庭抗礼,3
争气,1
说法,4
凶险,2
财力,4
惊险,1
联合,20
斗争,3
品,6
血缘,1
族弟,1
刨,2
采购,10
竞标,1
帮,5
毁约,1
请求,8
仲裁,3
加州,39
高法,2
法院,6
正言,1
克隆,3
压价,1
少量,1
控告,1
盗,2
MMX,1
闹,5
放眼,1
提早,1
率先,3
增,4
状告,5
收获,1
欧盟,3
觑,1
面世,1
重新,7
移,3
俄,2
冈,2
州,9
亚利桑,2
回应,1
利润率,28
夺回,7
主动权,2
利弊,2
柳宗元,1
敌,1
戒,2
秦,1
兢,2
訑,2
亡,1
激励,2
角度,12
头疼,1
研究院,8
院长,3
诺威,15
格,16
意,31
特长,3
外围,5
set,1
中高,1
中高档,1
高档,2
奔驰,1
轿车,1
死灰,1
死灰复燃,1
灰复,1
复燃,1
保驾,1
紧缺,1
昼夜,1
低耗,1
动摇,2
玩游,3
玩游戏,3
目前,12
天堂,3
头筹,2
雄霸,1
远景,2
乐观,3
受害,2
举步,1
摆脱,8
阴影,6
赖,6
攒,8
中关,4
中关村,4
关村,4
贴,3
品牌机,2
庭,1
体制,10
典范,2
年期,7
李,5
星,12
教育,48
教育部,1
副,7
部长,7
钰,1
吴建平,1
建平,1
考察,4
器,28
Router,1
货,7
加速器,1
子网,1
麦,2
劳,8
网络时代,2
瞬间,7
交易额,3
缩水,7
钱伯斯,4
宣布,8
佳话,1
纷纷,5
甘苦,2
效仿,4
系,11
计算中心,3
奥,5
萨克,7
Leonard,1
Bosack,1
桑,1
勒纳,5
Sandy,1
Lerner,1
谣言,2
情书,2
乱糟,2
递,4
网络协议,2
信真,1
夹杂,1
合情,1
合情合理,1
局域,21
局域网,21
网络设备,6
结,4
勤奋,1
NSF,4
建设,5
广义,1
NSFNet,3
雏形,2
登录,1
英文,4
英文名,2
英文名字,2
文名,2
Francisco,1
字母,6
图标,8
桥梁,6
Capital,7
年轻夫妇,1
穷,5
欲,2
拼搏,2
拼搏精神,1
精神,2
续,6
合适,8
烧,3
迟,1
先机,4
包容,1
电信公司,2
补,6
急剧,1
通话量,5
通信量,3
Gb,1
中国信息产业部,1
国信,1
信息产业部,1
产业部,2
计数,4
时长,1
信产部,1
表示,10
灵通,1
意味,12
负增长,1
争辩,1
附庸,1
百分点,3
分点,3
程控,5
短缺,1
债务,5
负数,1
神仙,1
强劲,2
增长势头,1
势头,1
取决,4
文化,9
亿万,4
亿万富翁,4
富翁,10
垃圾,1
垃圾股,1
念,8
百万富翁,4
宝贵,1
财富,25
开办,7
挡,2
敏感,3
挑选,4
弱点,1
守成,2
做事,9
突,11
江山,4
治理,1
腰缠,3
腰缠万贯,3
万贯,3
折扣,4
留住,1
调动,3
难题,1
体现,5
锅,3
通病,2
费功夫,1
偶尔,3
阻力,1
航海,3
西班牙,6
葡萄,5
葡萄牙,3
探险,1
哥伦布,1
麦哲伦,1
哲伦,1
航海家,1
王室,3
资助,14
亡命,1
亡命徒,1
名垂青史,1
垂青,1
青史,1
岛屿,2
陆,2
土,22
封,2
总督,1
征税,1
权力,3
王国,2
疆土,2
折,2
优先权,1
班,7
赔,3
额外,1
负担,5
公布,9
天价,4
Cerent,4
副总,11
副总裁,11
Bhadare,1
量身,2
清,10
发财,7
技术骨干,1
骨干,1
禧,1
灵验,1
进宫,2
暂时,6
赤裸,2
赤裸裸,2
垄断市场,1
Chambers,1
胸怀,1
卓识,1
开明,2
享,9
捐,7
宽容,4
网络通信,1
托尔,1
托尔斯,1
托尔斯泰,1
尔斯,6
泰,2
幸福,1
相似,5
Juniper,16
Networks,37
影子,3
电话机,2
话机,5
防火,3
防火墙,3
火墙,3
Netscreen,4
做生意,3
宣称,2
深层,2
民族,3
家喻户晓,2
民办,1
私营,4
私营企业,1
高效,3
高效率,2
勤劳,2
邮电,4
邮电部,2
两倍,4
虚,1
拖入,1
欧,4
韩国,3
落脚,1
数十,2
数十年,1
薄,3
笼罩,1
封顶,1
毛利率,2
利率,6
压力,8
策,6
节奏,3
Builder,1
Titan,1
榜,1
家族企业,2
宿命,12
益,5
谷底,3
直线,4
滞,1
股票走势,2
吻合,3
Verizon,1
蠢事,1
朴素,2
济事,4
蒸发,1
舵手,2
VoIP,5
Voice,1
on,5
名气,12
Linksys,1
进军,5
存储设备,8
策应,1
标识,4
标识符,1
电话号码,1
号码,1
搅,1
电话网,2
延时,1
Skype,5
免费,27
包,5
霸道,2
滥,4
变相,1
难度,3
联,4
电缆线,1
缆线,1
张家,3
橄榄,4
橄榄球,4
橄榄球赛,2
球赛,4
回家,3
女,6
电视台,4
卡通,3
卡通片,2
斯皮尔,1
斯皮尔伯格,1
伯格,3
设置,4
进度,2
遥控,2
遥控器,1
钮,1
场面,1
捂,1
眼睛,2
画面,1
中断,1
影,2
效果,14
电影院,1
影院,1
接电,1
接电话,1
蓝牙,1
度假,2
象素,2
两分,1
两分钟,1
飞速,2
飞速发展,2
现实,8
Mbps,2
浏览,35
媒,6
明天,3
漏掉,1
重播,1
宽频,1
X,1
需求量,2
影视,4
领头,9
领头羊,6
头羊,6
车队,1
浩浩,1
浩浩荡荡,1
浩荡,1
荡荡,1
凯,3
莉,1
菲奥莉娜,34
Hewlett,6
Packard,5
高调,1
女皇,1
官员,5
众星,1
众星捧月,1
走进,2
荣耀,1
回忆,2
高傲,1
受降,1
姿态,1
黯,1
错误,20
平庸,6
巨星,4
悬崖,1
马克,4
赫德,15
Mark,1
Hurd,1
DELL,2
性质,4
全程,1
缩影,1
昔日,7
休伊,4
休伊特,4
伊特,4
克特,4
躺,1
草坪,2
憧憬,2
Great,1
Depression,1
美景,1
–,1
抛,2
区区,5
示波,4
示波器,4
电子仪器,2
财政,19
财政困难,1
困难,7
英亩,3
颐,1
园,1
荒,3
遗嘱,4
闲置,1
禁止,5
Stanford,7
Industrial,2
进驻,3
难关,4
跃,7
顶尖,2
名校,10
提携,1
堪称,2
捐助,5
工程系,2
系馆,1
前期,1
稳步,2
稳步发展,2
发生器,1
昂贵,4
核磁,9
振,10
质量,37
印机,27
喷墨,8
问问,2
黯淡,4
孕育,3
前景,28
黄花,2
危言,1
危言耸听,1
耸听,1
两张,1
图表,1
蓝线,2
红线,2
黄线,1
衰退,16
购进,1
曲线,5
滑坡,1
忽高忽低,1
猛增,1
忽忽,2
保,1
垮掉,2
谜底,1
GE,165
电子行业,1
粹,1
获利,6
摇摇,2
摇摇欲坠,2
争议,11
生死,4
抉择,2
气力,1
悄悄,1
Convex,1
科学仪器,3
霸,4
产品线,6
计算器,1
算器,1
长长,1
格外,2
引,8
混乱,5
相干,1
合算,1
剥,5
葛,2
亮,3
安捷伦,12
帐,4
江河,10
平稳,2
理成,1
成章,2
激烈,7
品质,6
FDA,11
认证,1
情理,1
超越,7
坏,10
状况,1
挤进,2
赌,3
忽,5
赌博,2
吉列,6
刀架,2
刀片,8
墨盒,12
低估,6
爱普生,8
战国,1
楚国,1
酝酿,4
破例,1
事宜,4
风头,4
职业,21
职业女性,1
女性,4
拆掉,2
飞利浦,3
合资,3
功绩,1
罪,2
关注,4
底层,1
司,3
响,3
商业界,5
迎,1
首位,2
疯狂,2
融资,52
号,8
股票交易,1
疯长,1
荒唐,5
狂涨,1
疯涨,1
理性,1
真事,3
瘦身,2
算盘,3
蚕食,3
买入,2
行家,7
行家里手,2
提议,2
股东,32
拖垮,1
劣势,7
资金周转,1
周转,2
占领市场,4
H,1
P,16
全体,4
投票,7
批准,2
赞,5
票,2
拉,9
前夕,1
挫,2
形势,1
急转,3
首次,4
巨额,7
勉强,3
累加,1
翻倍,1
丢失,2
煤,2
堆,3
发亮,1
钻石,2
娜,1
成堆,1
喜功,1
急功,2
功利,2
胡,2
长篇,1
辩解,1
攻击,6
民众,4
买账,1
愤怒,1
股民,3
蜕变,1
索尼,4
频频,1
亮相,1
数码,3
数码相机,2
尼康,1
涂,3
永,5
逸,4
服装,2
Burberry,1
Armani,1
奢侈,3
奢侈品,2
欧美,9
加工,8
台湾,8
郭台铭,2
丰田,4
田,2
福特,4
牺牲,6
崩溃,4
Genentech,4
技术创新,1
时间差,2
松,10
媲美,1
面面,3
高质,5
高质量,5
彩色,11
套,10
刮胡子,3
胡子,3
低质,1
低质量,1
马虎,1
劣质,2
刮破,1
脸,1
OEM,7
原装,1
蝇头,1
财路,2
抵消,7
代加工,1
百计,1
阻挠,2
助,5
忍忍,1
建树,1
惯例,1
辞职,3
面子,2
惨痛,1
教训,8
掌舵,3
峰回,2
峰回路转,2
回路,2
回路转,2
心里,1
雄辩,1
直截,1
医治,2
良医,1
漂漂亮亮,1
Powerpoint,2
投影,2
胶片,2
写写,1
写写画画,1
画画,1
说话,1
刀,3
阔,2
斧,2
久远,1
动荡,1
架构,6
TSG,1
PSG,1
ISG,1
采取,3
直销,8
代销,3
流通,9
流通渠道,1
邯郸,2
邯郸学步,2
学步,2
味道,2
适合,14
电子产品,4
子产,4
Circuit,3
City,3
百思,3
百思买,3
Bestbuy,1
百货,8
百货店,6
货店,6
开机,2
报废,1
沃尔玛,7
Costco,2
货架,1
专,4
十开,1
字典,1
寸,1
高分,2
高分辨率,2
销路,3
宽幅,1
身处,1
称职,2
正轨,1
计算机服务,1
结症,1
制约,3
日子,4
家电行业,3
标记,1
表明,3
美妙,2
巨富,1
年轻美貌,1
美貌,1
伊万,1
特朗普,1
西,2
词汇,1
沉迷,1
梦,4
结晶,1
配,1
体育,3
傲视,1
假发,1
手杖,2
网站,43
相识,1
通信兵,1
形象,4
战士,1
SCR,4
背负,1
背负式,1
频,1
步话机,1
调谐,1
高频,2
调频,2
公斤,4
通讯,1
原名,2
Manufacturing,2
Corp,2
保罗,2
收音,11
收音机,11
Motor,1
ola,1
商品名称,1
品名,1
缀,3
Coca,1
Cola,1
电通,2
工具,7
报话机,2
Walkie,1
Talkie,2
笨重,1
厉,2
手提,1
手提式,1
Handy,1
哥,7
开阔,2
树林,1
百米,2
装备,1
天线,3
鲁棒性,1
Robustness,1
荒郊,1
荒郊野外,1
郊野,1
野外,1
车祸,1
呼救,1
双刃,1
双刃剑,1
注重,4
灵性,2
越拉越,1
风靡,4
城市,5
万元,3
万元户,1
腰,1
忘,3
改名,6
名头,2
Matsushita,1
改,4
Panasonic,1
黄金,6
黄金时代,4
分类,3
闭路,1
闭路电视,1
WIFI,1
RCA,21
节,42
鲍,1
嘉,2
赫,1
演,3
Sabrina,1
龙凤,1
龙凤配,1
影片,1
董事长,2
Linus,1
长岛,1
家中,1
指示,1
租车,1
运输,8
警匪,1
警匪片,1
纪念,5
年份,1
形,3
彩电,22
行业标准,2
荧幕,1
圆形,2
家电市场,1
尝试,8
蓬勃,7
蓬勃发展,4
勃发,4
总线,2
Address,1
Bus,1
宽度,2
MB,1
TSM,2
MK,1
金矿,8
蜂窝,2
蜂窝式,1
公认,3
两回,3
两回事,3
扎根,1
抵触,1
正相反,1
押宝,1
player,1
声誉,2
接触,9
海关,1
钢铁,4
包围,1
货轮,1
货舱,1
岸,1
模拟信号,1
式样,1
两万元,1
寄,3
松散,1
联盟,5
PAL,2
制式,4
行事,1
European,2
Conference,2
Postal,2
Telecommunications,2
Administrations,2
CEPT,1
Groupe,2
Sp,1
é,1
cial,1
Mobile,3
GSM,19
改称,1
Global,2
System,5
for,3
communications,1
讹,5
误,2
缩写,4
标准局,1
时分,3
TDMA,3
频率,1
匀,1
信道,4
间歇,1
编码,4
爱信,3
芬兰,21
架设,1
通信网,2
闲,2
码,3
CDMA,12
抗拒,1
捉弄,1
李开复,3
数字手机,10
延长,1
推迟,2
掘,1
墓,1
开采,2
身价,2
砖头,3
高估,1
嗓门,1
进展,2
缓慢,1
巧,2
适应,6
市场竞争,2
发烧,1
发烧音响,1
播放机,1
差异,8
喇叭,3
天壤,1
SONY,1
先锋,3
Harman,1
Kardon,1
Infinity,1
点点,5
操作性,1
非技术,2
机壳,2
新手,2
新手机,2
公平,8
推崇,1
平台,24
镶,1
身份,3
两百年,2
身体,1
卡尔,5
卡尔文,5
平平,4
平平庸庸,1
庸,2
杰克,4
角逐,1
逆水,1
逆水行舟,1
行舟,1
进退,1
时间表,1
关紧,1
踏,1
铱星,33
科技史,2
惜,4
牵头,2
夺,3
星座,1
收发,1
球,6
挂,1
万公里,2
赤道,1
基站,3
联络,1
沙,1
沙漠,1
覆盖,5
颗卫星,3
金属,1
金属元素,1
元素,4
铱,2
总数,2
宏伟,1
超前,4
特点,9
星际,1
链路,1
汇成,1
碰撞,1
计费,3
轨道,3
卫星通信,6
损耗,2
启动,4
戈尔,4
卫,2
杂志,1
精品,2
简直,2
彻头彻尾,1
维护费,2
发行,15
发行股票,1
债,2
利息,3
支付,17
订,14
流星,2
私募,16
Private,5
Equity,5
低价,5
回生,1
结算,1
现金流,5
金流,5
正数,1
A,6
Beautiful,1
Story,2
眼球,1
炉,1
注目,2
青睐,4
钓鱼,2
运作,17
相信,9
凸显,1
速率,1
Kps,1
潜,4
太超前,1
开业,1
贷款,22
撤回,1
全线,2
溃败,2
吃准,1
分散,5
LG,1
搞垮,1
战线,3
跌入,1
脑,2
数字电视,1
国民,1
电,24
TSMCX,2
精度,2
绰,2
发成,3
搞懂,3
推移,1
许许,3
壁,2
手机芯片,2
沟通,5
开发周期,1
拉开,2
逆转,5
Freescale,2
攀,2
宽松,6
安心,3
知识型,1
斗,3
十全,1
十全十美,1
露,1
回天乏力,2
乏力,2
科技股,1
Nasdaq,3
崩盘,1
注释,9
职位,7
翻盘,1
Zander,5
口号,2
办事效率,1
产品开发,2
义,4
途,6
废,3
核心技术,1
外型,1
花架,1
花架子,1
架子,1
凑合,1
站稳,2
脚,3
偏废,1
手机操作系统,4
重复性,1
复性,1
选错,1
选中,1
克服,1
先天,2
天足,1
太慢,2
原型,4
Robin,1
团队,11
取,6
Android,4
执行力,9
Cool,1
天赋,1
饮鸩止渴,2
止渴,2
低效,1
低效率,1
拯救,4
灵丹,1
灵丹妙药,1
妙药,1
馊主意,1
救星,2
分公司,4
中国政府,8
转机,1
先驱,3
路线,3
跨,6
退步,1
专攻,2
失利,1
控股,4
长远利益,1
断送,1
败家,2
败家子,2
家子,2
心,13
余力,2
迎接,1
结局,1
君子,1
泽,1
斩,1
家族式,1
造福,1
亚哥,2
洛杉矶,2
西部,4
淘金,9
淘金热,2
产量,1
总量,2
旧金山湾,5
山湾,5
储量,2
稀,1
金子,2
土壤,1
沙子,1
成分,2
神秘,4
季春,2
乐园,2
成王败寇,2
国土,1
国土面积,1
面积,5
十天,1
百强,3
领军,1
红,1
Facebook,4
顶级,2
排名,8
两名,2
UC,1
Berkeley,1
中海,1
居住,1
族,3
相处,1
睦,1
移民,5
聪明智慧,1
明智,3
智慧,1
勇,3
GDP,3
明星,10
税收,1
增幅,1
夸张,9
前辈,1
磁盘阵列,1
阵列,1
浏览器,31
Web,4
Browser,2
跑车,2
聚集,4
名门,1
富豪,1
富豪榜,1
列,7
津津,2
津津乐道,2
乐道,2
坞,4
佛利,1
山庄,1
豪宅,3
价值,22
Atherton,1
巫,4
报纸,14
讲述,3
东东,1
头脑,2
burnmoney,1
com,4
欣喜,1
狂,1
炒,4
喝汤,1
保时捷,1
法拉,1
法拉利,1
甩手,3
母校,4
栋,4
宣,3
撞死,2
交通,2
通事,1
百十万,4
称作,6
Silicon,1
Valley,1
Lottery,1
榜样,1
塑造,1
偶,2
Netscape,11
吉姆,1
克拉,3
克拉克,2
拉克,3
Jim,3
Clark,1
杨,8
费罗,4
佩,18
林,8
祖,2
Marc,1
ZuckerBerg,1
点燃,1
心中,1
少男,1
少男少女,1
少女,1
畏惧,2
肯干,2
认真,2
倾听,1
坦率,3
沉溺,2
泼,1
凉水,1
客套,1
衷,2
飘飘,1
血,4
残酷,2
开玩笑,3
Startups,2
夭折,2
默默,3
闻,2
面试,4
专业知识,3
扎实,1
干劲,1
优点,3
企业家,5
具备,7
梦想家,1
成事,1
实干,1
实干家,1
演义,3
两类,2
曹操,1
司马,1
司马懿,1
点子,1
谋臣,1
郭,1
简陋,1
苦日子,1
脏,1
麦克,4
科恩,1
Mike,1
Cohen,1
安装,10
杂事,1
精,1
争功,1
推诿,1
钻,1
模仿,8
团体,2
模型,11
Model,2
Ebay,78
市场前景,1
Segway,2
浪费,3
判断,8
判断力,4
岔路,1
吉,10
天生,1
外部环境,1
鲜,4
凤毛麟角,4
麟角,4
柯,2
岩,2
市价,5
原始,4
中星,1
微电子,1
展,1
讯,1
黑石,3
BlackStone,1
跌穿,1
发行价,2
旅行,2
旅行社,1
行社,1
Orbitz,1
网易,1
网易公司,1
勒令,1
供求,2
少数,6
异,4
寻,2
艰辛,1
回首,1
险情,1
合伙,42
垄断性,2
相竞,1
渔翁,1
回想,2
成败,7
汇集,1
网景公司,48
仿佛,1
骨,1
枯,1
分母,1
退学,2
嗜血,3
标题,1
超长,1
陪,2
晚饭,1
惊讶,2
工作量,1
顶,2
东部,21
加班,8
法律,7
加班费,2
班费,2
周,11
南部,1
周末,4
号称,1
实际收入,1
支配,2
雇主,6
普通员工,1
紧张,2
加班加点,1
加点,1
忍受,1
年头,5
失业率,2
攀升,1
塔,2
克拉拉,1
拉拉,1
县,2
平水,3
救济,1
公民,1
居民,3
绿卡,1
HB,1
签证,1
祖国,1
海,7
高潮,4
荒废,3
广告,158
讲明,1
废纸,2
百份,1
Over,1
Qualified,1
覆巢,1
完卵,1
Claudio,1
Abbado,1
指挥,1
歌剧,1
科,17
芭蕾,1
芭蕾舞,1
芭蕾舞团,1
舞团,1
解压,1
Lake,1
Tahoe,1
滑雪,1
滑雪场,1
雪场,1
拉斯,2
拉斯维加,1
拉斯维加斯,1
维加,1
维加斯,1
加斯,1
赌馆,1
眼里,10
技术员,2
Exercise,1
刻,1
风气,4
彩券,1
忠诚,2
忠诚度,2
权威,10
Henessey,1
泰斗,2
埃里森,2
里森,2
Elison,1
甲骨,18
甲骨文,18
拔萃,2
Doeer,1
迈克,1
迈克尔,1
克尔,1
Michael,2
Moritz,2
百名,2
获奖,1
牛毛,3
开车,2
抛锚,1
兰,2
斯塔,1
斯塔斯,1
塔斯,1
迷信,3
真刀,1
真刀真枪,1
真枪,1
Resume,1
导师,4
推荐,5
头衔,3
真实,7
夸,1
辞,3
谋职,1
交道,8
软,3
淘汰率,3
指手画脚,1
茅庐,2
眼高手低,2
抱怨,3
误解,4
推荐信,1
时侯,1
考考,1
考试,7
应聘,1
考,3
服气,1
承认,6
规矩,3
总体,4
吸收,2
新鲜,3
新鲜血液,2
鲜血,2
血液,3
充,5
循规蹈矩,1
权,9
服,1
升迁,1
工龄,1
长短,1
师兄,5
拘,1
进前,1
交际,2
闯劲,1
牛犊,1
际,2
Soft,2
Skills,1
Webex,3
古,2
少年,3
饥渴,2
急,3
脱,3
现状,1
锦,2
添,2
置,3
死生,1
勉励,1
Keep,1
详述,3
双手,1
行行,1
行状,1
状元,2
维,1
施特,1
施特劳斯,1
特劳斯,1
Levi,3
Strauss,1
布料,1
裁缝,1
帐篷,1
帆布,1
结实,1
工作服,1
牛仔,2
牛仔裤,2
踪迹,1
旧日,1
废弃,1
淘,1
新贵,1
财产,11
Wealth,2
Management,2
发达,5
房价,2
房屋,6
房屋交易,2
金额,5
流动,3
流动性,1
中介,3
色,9
Gorman,1
累计,2
佣金,11
趣,1
房产业,1
改行,1
事业成功,1
装修,2
新家,1
华裔,1
中学毕业,1
学徒,1
钻研,1
勤,2
高薪,1
熟练,1
园丁,1
墨西哥,1
西哥,1
院子,2
热情,3
卡车,1
主顾,1
运送,1
守信,1
修缮,1
庭院,2
规划,5
Landscape,1
帮手,3
脚踏,2
踏实,2
混,2
张嘴,1
跳槽,4
跳跳,1
呆,2
混混,1
沽,1
精英,6
养尊处优,2
尊处,2
符,2
围,5
答案,4
科技园,8
预先,2
职称,1
引进,4
投资额,3
招商,1
落魄,1
学子,1
Semiconductor,3
仙童公司,3
夏,10
Shockley,1
叛逃,1
叛徒,1
Traitorous,1
Eight,1
Maxim,1
Oracle,4
Com,3
National,1
生物制药,4
迁,2
研发部,2
研发部门,2
低廉,1
增减,1
分量,1
增加利润,1
加利,1
高昂,2
促进,3
电机,6
电机工程,5
机工,5
机工程,5
LSI,2
亚裔,2
中流,1
中流砥柱,1
砥柱,1
设计部,1
设计部门,1
东亚,1
中国台湾,1
科研部,1
科研部门,1
代表性,5
显卡,2
Nvidia,3
黄,1
勋,1
整体,7
外移,1
鲁尔,1
采煤,1
炼钢,1
匹兹堡,3
底特律,3
钢铁业,1
铁业,1
汽车业,1
早晚,2
尘,1
域性,1
亘古,3
鞭,1
末年,1
主公,1
练,2
辫子,3
冷兵器,1
兵器,1
罕,2
敌手,1
团,9
洋枪,2
洋枪洋炮,2
洋炮,2
国联军,1
联军,1
假洋鬼子,1
洋鬼子,1
鬼子,1
余生,1
剪掉,1
百步,1
百步穿杨,1
枪法,1
惩戒,2
汉奸,1
诗,1
云烟,1
热浪,1
重现,1
惋惜,1
软件业,3
信息时代,1
甲骨文公司,6
捆绑,12
外加,2
颠覆,5
颠覆性,2
缴纳,1
SQL,2
Photoshop,1
Adobe,6
